Date,Open,High,Low,Close,Volume
03-01-2012,58.485714,58.92857,58.42857,58.747143,75555200
04-01-2012,58.57143,59.240002,58.468571,59.062859,65005500
05-01-2012,59.278572,59.792858,58.952858,59.718571,67817400
06-01-2012,59.967144,60.392857,59.888573,60.342857,79573200
09-01-2012,60.785713,61.107143,60.192856,60.247143,98506100
10-01-2012,60.844284,60.857143,60.214287,60.462856,64549100
11-01-2012,60.382858,60.407143,59.901428,60.364285,53771200
12-01-2012,60.325714,60.414288,59.82143,60.19857,53146800
13-01-2012,59.957142,60.064285,59.808571,59.972858,56505400
17-01-2012,60.599998,60.855713,60.422855,60.671429,60724300
18-01-2012,60.994286,61.352856,60.900002,61.30143,69197800
19-01-2012,61.450001,61.624287,60.93,61.107143,65434600
20-01-2012,61.07,61.07143,59.964287,60.042858,103493600
23-01-2012,60.381428,61.207142,60.328571,61.058571,76515600
24-01-2012,60.728573,60.728573,59.935715,60.058571,136909500
25-01-2012,64.919998,64.921425,63.389999,63.808571,239578500
26-01-2012,64.05143,64.112854,63.305714,63.51857,80996300
27-01-2012,63.477142,64.068573,63.395714,63.897144,74927300
30-01-2012,63.672855,64.842857,63.627144,64.715714,94835300
31-01-2012,65.084282,65.46286,64.724289,65.211426,97920900
01-02-2012,65.487144,65.57,65.078575,65.169998,67511500
02-02-2012,65.128571,65.309998,64.854286,65.017143,46699100
03-02-2012,65.328575,65.714287,65.080002,65.668571,71649900
06-02-2012,65.482857,66.425713,65.457146,66.281425,62353200
07-02-2012,66.464287,67.10714,66.368568,66.975716,79055900
08-02-2012,67.214287,68.112854,67.099998,68.097145,101972500
09-02-2012,68.68,70.964287,68.651428,70.452858,221053700
10-02-2012,70.137146,71.08857,69.792854,70.488571,157825500
13-02-2012,71.361427,71.975716,71.012856,71.800003,129304000
14-02-2012,72.094284,72.794289,71.714287,72.779999,115099600
15-02-2012,73.465714,75.184288,70.984283,71.095711,376530000
16-02-2012,70.214287,72.127144,69.51857,71.744286,236138000
17-02-2012,71.872856,72.538574,71.471428,71.73143,133951300
21-02-2012,72.41143,73.550003,72.017143,73.550003,151398800
22-02-2012,73.297142,73.641426,72.724289,73.291428,120825600
23-02-2012,73.582855,73.975716,72.785713,73.769997,142006900
24-02-2012,74.238571,74.699997,74.091431,74.629997,103768000
27-02-2012,74.472855,75.5,73.754288,75.108574,136895500
28-02-2012,75.422859,76.487144,75.121429,76.487144,150096800
29-02-2012,77.365715,78.230003,76.528572,77.491432,238002800
01-03-2012,78.309998,78.315712,76.96714,77.781425,170817500
02-03-2012,77.748573,78.114288,77.502853,77.882858,107928100
05-03-2012,77.917145,78.211426,75.14286,76.165718,202281100
06-03-2012,74.808571,76.241432,73.745712,75.751427,202559700
07-03-2012,76.685715,76.825714,74.757141,75.812859,199630200
08-03-2012,76.384285,77.57,76.017143,77.427139,129114300
09-03-2012,77.744286,78.248573,77.587143,77.881432,104729800
12-03-2012,78.425713,78.85714,78.14286,78.85714,101820600
13-03-2012,79.648575,81.168571,79.39286,81.157143,172713800
14-03-2012,82.578575,84.959999,82.199997,84.225716,354711000
15-03-2012,85.658569,85.715714,82.650002,83.651428,289929500
